"day","temp","precip","snow"
2018-03-01,60,0.38,0
2018-03-02,44,1.86,0
2018-03-03,49,0,0
2018-03-04,44,0,0
2018-03-05,43,0,0
2018-03-06,47,0,0
2018-03-07,39,1.41,3.2
2018-03-08,39,0,0
2018-03-09,42,0,0
2018-03-10,40,0,0
2018-03-11,45,0,0
2018-03-12,43,0.08,0
2018-03-13,40,0.28,0
2018-03-14,41,0.01,0
2018-03-15,48,0,0
2018-03-16,40,0,0
2018-03-17,48,0,0
2018-03-18,43,0,0
2018-03-19,47,0,0
2018-03-20,39,0,0
2018-03-21,39,0.99,8.2
2018-03-22,50,0.06,0.2
2018-03-23,49,0,0
2018-03-24,51,0,0
2018-03-25,45,0,0
2018-03-26,50,0,0
2018-03-27,47,0.01,0
2018-03-28,52,0.03,0
2018-03-29,53,0.03,0
2018-03-30,62,0.03,0
2018-03-31,58,0,0